doc_id,cleaned_text,bertopic_topic,bertopic_probability
304578313,accommodation really good thing needed bed comfy kitchen facility great,5,0.5578431616169005
170542903,amazing great location nate nice family really love beautiful choose live,-1,0.0
52653458,host welcoming meeting agreed time made feel comfortable straight away cup cake extra delicious,-1,0.0
210931914,well known jingle property often location location location overlooking one traditional icon queen victoria market could scarcely bettered purpose providing easy access every direction especially cbd carlton exactly looking long wrap around balcony evidently one extensive entire storey block increased sense spaciousness light especially afternoon evening initially wonder disturbance ambient night time traffic noise busy intersection victoria elizabeth street recall single untimely awakening month long inside clean comfortable well appointed tasteful modern furnishing equipment without exception worked reliably well important one seeking home home comfort efficiency kitchen bathroom area given dilin attentive responsive host hesitate making request recommending warmly relation friend sider world say,-1,0.0
247534238,great cbd downtown location walking distance might want clean convenient spacious relaxing,0,1.0
42395121,nina relaxing spacious comfortable spent lot time hanging well exploring city sth short walk tram ride away nina went way make sure needed,60,0.9917409238801637
178581350,kim beautiful dog charlie warm welcoming home surprisingly spacious yet cozy bed kim helpful accomodating moment booked time said goodbye,49,0.5792136355036024
318918915,nice view good location nice host worth recommend,33,1.0
34038702,lorraine ian exceptionally hospitable host welcoming accommodating flexible arrival checkout time first experience must say lorraine ian set high precedent beautifully furnished residence comfortable homely feel kitchen fully functional need thoroughly enjoyed doubt ever hotel situated prime location access speak enough host,-1,0.0
337613578,house amazing clean stylish really loved furniture detail cozy fill house special warm atmosphere room ground floor needed expected even second towel thanks lot neighbor behave well without making noise feel absolutely comfortable hahaha true house high audibility host live next building never met used use metro cbd best way get take around min total way door go try nice experience sean house,15,0.9241783131350855
336104742,perfect spot close st kilda centre walking distance shop cafe beach etc,7,0.4218883686317064
249238264,amazing hotel amazing city view location mean great access free city tram well nearby nightspot restaurant used cab venturing suburb else including best city attraction restaurant short walk away sparkling clean nice living room layout loved waking middle night see glowing building even loud promenade downstairs window afforded wonderful sound isolation issue parking seem assigned spot make sure discus host beforehand ended getting angry note car neil gracious local suggestion even showed comprehensive guidebook prepared guest convenient comfortable make want come back,-1,0.0
321994855,marion chadstone caulfield city marion,-1,0.0
189832348,good helpful quick response owner close amenity clean,104,1.0
323589013,chanel place great retreat location fabulous far inner city fabulous food culture around clean comfortable enjoyed separate entrance although dwelling connected main house felt private greeted warmly lovely hanna end day adorable pooch turn anyone dog lover although get chance meet chanel person due schedule positive clear timely communication arrangement recommend chanel place anyone want quiet north side great coffee minute walk away,-1,0.0
183664502,lovely kerli place quiet considerate friendly helpful local knowledge breakfast spot near,-1,0.0
249248992,great location lovely,-1,0.0
233058188,incredible loved every second miss fan linda already thank letting recommended many x,-1,0.0
124031013,great time close public transport easy walk station communication host great described made air conditioning pool,44,0.7131158343167271
336054444,paul close exciting spot southbank still close fabulous south market easy public transport doorstep provides comfort need fabulous short,-1,0.0
35766371,accomodation bedsit upstairs end host house warm comfy bed shower toilet kitchenette light breakfast provided shane nuan child delightful shane nuan offered drive venue attending appreciated lovely people downside nearby railway crossing pretty noisy afternoon evening luckily earplug problem,15,1.0
165433528,best spot travel nice host ken generous,-1,0.0
343519263,,2,1.0
351430961,good location clean,3,1.0
310763342,clean well equipped centrally located perfect girl weekend paul great host friendly quick communication recommend,-1,0.0
346477261,great location nice host convinced,36,1.0
154960119,hassle free unit beautifully presented clean homely comfortable unit exactly described located upstairs attached main residence sound transmission area fridge stocked nice breakfast spread appreciated surprise entrance unit totally independent main house lovely host beautiful unit perfect option,-1,0.0
132097830,great place convienient beautiful alternative view city alex extremely responsive helpful accomodating host area central issue transport taxi uber etc happy,32,0.3810367127094502
137207402,enjoyed recommend josephine place good location safe area,-1,0.0
132942930,plenty living space heating cooling work well jack easily contactable pleasure communicate nice,-1,0.0
6421280,enjoyed barbara nice cosy come back,-1,0.0
27832180,really enjoyed clean organized need location excellent easy get around ives nice gave helpful travel tip downside one elevator service throughout always took long time get elevator,-1,0.0
170160390,small comfortable need quiet neighbourhood need remember booking within city centre slept fine earplug provided great able walk anywhere everywhere course shortage good food good coffee within walking distance needed travelling,-1,0.0
333125564,great location,41,1.0
228691416,recommend williams place convenient st kilda area cbd area accommodating spacious people blast,7,1.0
